NAME,PATH,DESCRIPTION
sndfile-concat,/usr/local/bin/sndfile-concat,sndfile-concat(1) - concatenate audio data from two or more audio files
sndfile-convert,/usr/local/bin/sndfile-convert,sndfile-convert(1) - convert sound files from one format to another
sndfile-info,/usr/local/bin/sndfile-info,sndfile-info(1) - display information about sound files
sndfile-interleave,/usr/local/bin/sndfile-interleave,"sndfile-interleave(1), sndfile-deinterleave(1) - convert mono files into a multi-channel file and vice versa"
sndfile-metadata-get,/usr/local/bin/sndfile-metadata-get,"sndfile-metadata-get(1), sndfile-metadata-set(1) - get or set metadata in a sound file"
sndfile-play,/usr/local/bin/sndfile-play,sndfile-play(1) - play a sound file
sndfile-salvage,/usr/local/bin/sndfile-salvage,sndfile-salvage(1) - salvage audio data from WAV files longer than 4G
sorter,/usr/local/bin/sorter,sorter(1) - Sort files in an image into categories based on file type
sponge,/usr/local/bin/sponge,sponge(1) - soak up standard input and write to a file
srptool,/usr/local/bin/srptool,"srptool(1), *[B-Font]srptool(1) - GnuTLS SRP tool"
ssdeep,/usr/local/bin/ssdeep,ssdeep(1) - Computes context triggered piecewise hashes (fuzzy hashes)
tiff2bw,/usr/local/bin/tiff2bw,tiff2bw(1) - convert a color TIFF image to greyscale
tiff2pdf,/usr/local/bin/tiff2pdf,tiff2pdf(1) - convert a TIFF image to a PDF document
tiff2ps,/usr/local/bin/tiff2ps,tiff2ps(1) - convert a TIFF image to
tiff2rgba,/usr/local/bin/tiff2rgba,tiff2rgba(1) - convert a TIFF image to RGBA color space
tiffcmp,/usr/local/bin/tiffcmp,tiffcmp(1) - compare two TIFF files
tiffcp,/usr/local/bin/tiffcp,tiffcp(1) - copy (and possibly convert) a TIFF file
tiffcrop,/usr/local/bin/tiffcrop,"tiffcrop(1) - select, copy, crop, convert, extract, and/or process one or more TIFF files"
tiffdither,/usr/local/bin/tiffdither,tiffdither(1) - convert a greyscale image to bilevel using dithering
tiffdump,/usr/local/bin/tiffdump,tiffdump(1) - print verbatim information about TIFF files
tiffinfo,/usr/local/bin/tiffinfo,tiffinfo(1) - print information about TIFF files
tiffmedian,/usr/local/bin/tiffmedian,tiffmedian(1) - apply the median cut algorithm to data in a TIFF file
tiffset,/usr/local/bin/tiffset,tiffset(1) - set or unset a field in a TIFF header
tiffsplit,/usr/local/bin/tiffsplit,tiffsplit(1) - split a multi-image TIFF into single-image TIFF files
tificc,/usr/local/bin/tificc,tificc(1) - little cms ICC profile applier for TIFF
tree,/usr/local/bin/tree,tree(1) - list contents of directories in a tree-like format
ts,/usr/local/bin/ts,ts(1) - timestamp input
tsk_comparedir,/usr/local/bin/tsk_comparedir,tsk_comparedir(1) - compare the contents of a directory with the contents of an image or local device
tsk_gettimes,/usr/local/bin/tsk_gettimes,tsk_gettimes(1) - Collect MAC times from a disk image into a body file
tsk_loaddb,/usr/local/bin/tsk_loaddb,tsk_loaddb(1) - populate a SQLite database with metadata from a disk image
tsk_recover,/usr/local/bin/tsk_recover,tsk_recover(1) - Export files from an image into a local directory
usnjls,/usr/local/bin/usnjls,usnjls(1) - List the contents of a NTFS Update Sequence Number journal
vacuumdb,/usr/local/bin/vacuumdb,vacuumdb(1) - garbage-collect and analyze a PostgreSQL database
vacuumlo,/usr/local/bin/vacuumlo,vacuumlo(1) - remove orphaned large objects from a PostgreSQL database
vidir,/usr/local/bin/vidir,vidir(1) - edit directories and filenames
vipe,/usr/local/bin/vipe,vipe(1) - edit pipe
webpinfo,/usr/local/bin/webpinfo,webpinfo(1) - print out the chunk level structure of WebP files along with basic integrity checks
webpmux,/usr/local/bin/webpmux,"webpmux(1) - create animated WebP files from non-animated WebP images, extract frames from animated WebP images, and manage XMP/EXIF metadata and ICC profile"
wrjpgcom,/usr/local/bin/wrjpgcom,wrjpgcom(1) - insert text comments into a JPEG file
xz,/usr/local/bin/xz,"xz(1), unxz(1), xzcat(1), lzma(1), unlzma(1), lzcat(1) - Compress or decompress .xz and .lzma files"
xzcmp,/usr/local/bin/xzcmp,"xzcmp(1), xzdiff(1), lzcmp(1), lzdiff(1) - compare compressed files"
xzdec,/usr/local/bin/xzdec,"xzdec(1), lzmadec(1) - Small .xz and .lzma decompressors"
xzgrep,/usr/local/bin/xzgrep,xzgrep(1) - search compressed files for a regular expression
xzless,/usr/local/bin/xzless,"xzless(1), lzless(1) - view xz or lzma compressed (text) files"
xzmore,/usr/local/bin/xzmore,"xzmore(1), lzmore(1) - view xz or lzma compressed (text) files"
yara,/usr/local/bin/yara,yara(1) - find files matching patterns and rules written in a special-purpose language
yarac,/usr/local/bin/yarac,yarac(1) - compile rules to yara
youtube-dl,/usr/local/bin/youtube-dl,youtube-dl(1) - download videos from youtube.com or other video platforms
zrun,/usr/local/bin/zrun,zrun(1) - automatically uncompress arguments to command
zstd,/usr/local/bin/zstd,"zstd(1) - zstd, zstdmt, unzstd, zstdcat - Compress or decompress .zst files"
zstdgrep,/usr/local/bin/zstdgrep,zstdgrep(1) - print lines matching a pattern in zstandard-compressed files
zstdless,/usr/local/bin/zstdless,zstdless(1) - view zstandard-compressed files
BootCacheControl,/usr/sbin/BootCacheControl,BootCacheControl(8) - provides control of caches used during startup
DevToolsSecurity,/usr/sbin/DevToolsSecurity,DevToolsSecurity(8) - Change the security authorization policies for developer systems
KernelEventAgent,/usr/sbin/KernelEventAgent,KernelEventAgent(8) - utility to provide user interface on behalf of the kernel
NetBootClientStatus,/usr/sbin/NetBootClientStatus,NetBootClientStatus(8) - NetBoot helper process
PasswordService,/usr/sbin/PasswordService,PasswordService(8) - Mac OS X Server Password Server daemon
SafeEjectGPU,/usr/bin/SafeEjectGPU,SafeEjectGPU(8) - Facilitate safe eject/disconnect of eGPU(s) from system
a2p,/usr/bin/a2p,a2p(1) - Awk to Perl translator
ab,/usr/sbin/ab,ab(1) - Apache HTTP server benchmarking tool
ac,/usr/sbin/ac,ac(8) - display connect-time accounting
accept,/usr/sbin/accept,"accept(8), cupsaccept/cupsreject(8) - accept/reject jobs sent to a destination"
accton,/usr/sbin/accton,accton(8) - enable/disable system accounting
addftinfo,/usr/bin/addftinfo,addftinfo(1) - add information to troff font files for use with groff
afmtodit,/usr/bin/afmtodit,afmtodit(1) - create font files for use with groff -Tps
afscexpand,/usr/bin/afscexpand,afscexpand(1) - decompress files compressed with HFS+ compression
agentxtrap,/usr/bin/agentxtrap,agentxtrap(1) - send an AgentX NotifyPDU to an AgentX master agent
amt,/usr/sbin/amt,amt(8) - Abstract Machine Test Utility
apachectl,/usr/sbin/apachectl,apachectl(8) - Apache HTTP Server Control Interface
